Make,Model,Trim,Year,Image,Type
Ford,Mustang,,1965,,Muscle Car
Austin-Healey,3000,Mark III BJ8,1966,,Sports Car
Chevrolet,Chevelle,SS (396),1967,,Muscle Car
Ford,Mustang,GT500,1967,,Muscle Car
Dodge,Charger,R/T,1968,,Muscle Car
Datsun,510,,1969,,Compact Coupe
Datsun,240Z,,1970,,Sport Compact Coupe
Pontiac,GTO,,1970,,Muscle Car
Porsche,914,,1970,,Sport Compact Coupe
Honda,Z600,,1971,,Sport Compact Hatch
Toyota,Corona,1900,1972,,Compact Coupe
BMW,2002,tii,1973,,Compact Coupe
Chevrolet,Camaro,Z28,1973,,Muscle Car
Datsun,260Z,,1974,,Sport Compact Coupe
Datsun,280Z,,1977,,Sport Compact Coupe
Ford,Fiesta,,1978,,Compact Hatch
Honda,Prelude,,1980,,Sport Compact Coupe
Datsun,280ZX,Turbo,1981,,Sport Compact Coupe
Toyota,Celica,Supra,1982,,Sport Compact Coupe
Buick,Grand National,,1984,,Muscle Car
Honda,Civic,CRX,1984,,Sport Compact Coupe
Honda,Prelude,,1984,,Sport Compact Coupe
Nissan,300ZX,,1984,,Sport Compact Coupe
Pontiac,Fiero,,1984,,Sport Compact Coupe
Chevrolet,Camaro,IROC-Z,1985,,Muscle Car
Mazda,RX-7,GSL-SE,1985,,Sport Compact Coupe
Toyota,MR2,,1985,,Sport Compact Coupe
Volkswagen,Golf,GTI,1985,,Sport Compact Hatch
Chevrolet,Cavalier,Z24,1986,,Sport Compact Hatch
Mazda,RX-7,Turbo,1986,,Sport Compact Coupe
Toyota,Corolla,Sport GT-S,1986,,Sport Compact Coupe
Acura,Integra,,1987,https://i.imgur.com/c8EyUvA.jpg,Sport Compact Coupe
Audi,Coupe,Quattro,1987,,Sport Compact Coupe
Honda,Civic,Si,1987,,Sport Compact Hatch
Mazda,323,GT-X,1987,,Sport Compact Hatch
BMW,M3,(E30),1988,,Sports Car
Honda,Prelude,2.0Si,1988,,Sport Compact Coupe
Chrysler,Conquest,TSI,1988,,Sports Car
Nissan,180SX,,1989,,Sport Compact Coupe
Suzuki,Swift,GTi,1989,,
Toyota,MR2,Super Charger,1989,,Sport Compact Coupe
Honda,CR-X,Si,1990,,Sport Compact Coupe
Mazda,MX-5 Miata,(NA),1990,,Sports Car
Ford,Probe,GT,1991,,Sport Compact Coupe
Isuzu,Impulse,RS,1991,,
Mitsubishi,Eclipse,GS,1991,,Sport Compact Coupe
Dodge,Stealth,RT,1991,,Sports Car
Nissan,NX2000,,1991,,
Toyota,MR2,,1991,,Sport Compact Coupe
Acura,Integra,GS-R,1992,https://i.imgur.com/sXaBZZ9.jpg,Sport Compact Coupe
Honda,Civic,Si,1992,,Sport Compact Coupe
Nissan,240SX (S13),,1992,,Sport Compact Coupe
Ford,Mustang,SVT Cobra,1993,,Muscle Car
Honda,CR-X,del Sol Si,1993,,Sport Compact Coupe
Mazda,RX-7,R1,1993,,Sports Car
Toyota,MR2,Turbo,1993,,Sport Compact Coupe
Acura,NSX,,1994,https://i.imgur.com/hbUTq41.jpg,Sports Car
Ford,Probe,GT,1994,,Sport Compact Coupe
Honda,Prelude,Si,1994,,Sport Compact Coupe
Mitsubishi,Eclipse,GSX,1994,,Sport Compact Coupe
